id,Name,Year
323609,"I, Tonya",2017
39579,The Red Shoes,1948
50207,The Aviator,2004
51038,Perfume: The Story of a Murderer,2006
50112,Adaptation.,2002
459184,The Perfection,2018
51777,Amadeus,1984
84642,Helter Skelter,2012
50954,Rope,1948
146954,The Imitation Game,2014
193554,It Follows,2014
403826,Boy Erased,2018
82561,Light Years Away,1981
70778,Liberal Arts,2012
680383,Orphan: First Kill,2022
353117,Get Out,2017
51881,28 Days Later,2002
180414,Focus,2015
736318,Crimes of the Future,2022
172633,Clouds of Sils Maria,2014
669744,Petite Maman,2021
42916,In Paris,2006
386631,Benedetta,2021
525501,The Female Closet,1998
48475,The Mexican,2001
51985,Talk to Her,2002
46753,The Princess Diaries,2001
35362,Maurice,1987
20374,Hugo,2011
52504,Silence,2016
546313,No Crying at the Dinner Table,2019
312204,Jackie,2016
51700,12 Angry Men,1957
51671,Schindler's List,1993
51295,Saving Private Ryan,1998
51613,The Green Mile,1999
51487,Life Is Beautiful,1997
43015,Harakiri,1962
51716,Seven Samurai,1954
50949,It's a Wonderful Life,1946
63767,The Intouchables,2011
51672,The Pianist,2002
51952,Gladiator,2000
51977,American History X,1998
44558,Grave of the Fireflies,1988
51945,Back to the Future,1985
2690,Apocalypse Now,1979
51714,Alien,1979
51552,Rear Window,1954
51770,Casablanca,1942
307684,Your Name.,2016
51538,The Lives of Others,2006
2703,American Beauty,1999
51610,Reservoir Dogs,1992
49655,Changeling,2008
14015,One Day,2011
25773,The Beautiful Person,2008
20099,Regular Lovers,2005
311564,From the Land of the Moon,2016
23885,Lourdes,2009
31103,A Woman Is a Woman,1961
50869,Day for Night,1973
20908,True Grit,2010
51623,Wild at Heart,1990
252473,Endless Poetry,2016
50241,Confidentially Yours,1983
263215,Captain Fantastic,2016
682547,Nope,2022
51686,The Straight Story,1999
197012,The Hateful Eight,2015
269741,Modern Love,2021
48865,"Salò, or the 120 Days of Sodom",1975
546348,Malignant,2021
743939,Titi,2020
913178,Bo,2022
52501,Argo,2012
80349,Zero Dark Thirty,2012
51421,All About Eve,1950
429628,An Elephant Sitting Still,2018
696310,Women Talking,2022
589317,Amsterdam,2022
228594,Blonde,2022
718241,The Pale Blue Eye,2022
669198,One Fine Morning,2022
462573,Waves,2019
853822,Pearl,2022
28484,"LSD: Love, Sex aur Dhokha",2010
734096,TÁR,2022
239674,Maggie's Plan,2015
521323,The Menu,2022
51689,Garden State,2004
27183,The Graduate,1967
51509,Wild Strawberries,1957
598882,The Banshees of Inisherin,2022
16530,All Quiet on the Western Front,2022
542032,Elvis,2022
721288,The Fabelmans,2022
680635,Living,2022
739399,To Leslie,2022
523109,Causeway,2022
609761,"BARDO, False Chronicle of a Handful of Truths",2022
508037,RRR,2022
484263,Guillermo del Toro's Pinocchio,2022
781326,Marcel the Shell with Shoes On,2021
242285,Puss in Boots: The Last Wish,2022
819863,Fire of Love,2022
637929,"Argentina, 1985",2022
812015,Close,2022
822333,The Quiet Girl,2022
930946,The Red Suitcase,2022
868565,Ice Merchants,2022
71927,Boyhood,2014
269358,Loving Vincent,2017
50984,Pieces of April,2003
327974,Raw,2016
51485,When Harry Met Sally...,1989
171653,Suffragette,2015
46996,Single White Female,1992
589093,Shiva Baby,2020
601252,Drowning in Holy Water,2020
45628,Audition,1999
798531,You Can Live Forever,2022
60328,Pariah,2011
182142,Carol,2015
51194,Paths of Glory,1957
51350,Lolita,1962
51218,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
49811,Barry Lyndon,1975
51809,The Killing,1956
45909,Network,1976
47312,Femme Fatale,2002
50159,The Blair Witch Project,1999
45537,Mysterious Skin,2004
49595,Ikiru,1952
522602,Death of Me,2020
45549,Secrets & Lies,1996
171963,Mr. Turner,2014
45597,Vera Drake,2004
46166,Happy-Go-Lucky,2008
27558,Life Is Sweet,1990
8227,Meantime,1983
17560,High Hopes,1988
44571,All or Nothing,2002
16148,Career Girls,1997
188940,Nuts in May,1976
37107,Abigail's Party,1977
96213,Bleak Moments,1971
16155,The Short & Curlies,1987
5555,A Sense of History,1992
43974,Broken English,2007
878873,Vesper,2022
1034027,Critical Zone,2023
822093,Anatomy of a Fall,2023
88506,A Pigeon Sat on a Branch Reflecting on Existence,2014
528677,Parallel Shadows,2016
21152,Another Year,2010
35421,The Color of Pomegranates,1969
256987,Along the Night,1978
41447,All About Lily Chou-Chou,2001
13867,The Deep Blue Sea,2011
494596,Anonymity,2018
483564,There's Always a Woman in Between,2008
511845,Our Friend,2019
50653,The Elephant Man,1980
217531,Anomalisa,2015
468554,It Must Be Heaven,2019
50564,The Station Agent,2003
10781,Beginners,2010
47292,Orlando,1992
48234,Lars and the Real Girl,2007
47971,Half Nelson,2006
80201,Rust and Bone,2012
420468,We the Animals,2018
22878,Never Let Me Go,2010
10443,A Better Life,2011
99974,Stories We Tell,2012
36594,An Education,2009
10381,Neds,2010
176681,In Order of Disappearance,2014
149094,Starred Up,2013
90705,The Sessions,2012
42089,A Brighter Summer Day,1991
101559,As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,2000
32502,A Woman Under the Influence,1974
22968,Streetwise,1984
49955,The Trial,1962
835774,Saltburn,2023
996925,BEEF,2023
27234,Four Adventures of Reinette and Mirabelle,1987
26928,A Summer's Tale,1996
50039,Claire's Knee,1970
31463,Pigs and Battleships,1961
32848,Face to Face,1976
48536,Fanny and Alexander,1982
103302,Scenes from a Marriage,1974
46414,Cries and Whispers,1972
32847,Winter Light,1963
40422,Hour of the Wolf,1968
45148,Through a Glass Darkly,1961
45097,The Virgin Spring,1960
17680,Summer with Monika,1953
45242,The Silence,1963
35361,Shame,1968
45054,Smiles of a Summer Night,1955
22484,The Passion of Anna,1969
523424,Fanny and Alexander,1984
32849,The Magician,1958
656211,Scenes from a Marriage,1973
17928,Summer Interlude,1951
17694,Sawdust and Tinsel,1953
10506,Saraband,2003
51024,The Virgin Suicides,1999
50717,Marie Antoinette,2006
25454,Somewhere,2010
79893,The Bling Ring,2013
300308,A Very Murray Christmas,2015
359129,La Traviata,2017
503632,On the Rocks,2020
742850,New York City Ballet,2021
813840,Society of the Snow,2023
49268,The Darjeeling Limited,2007
1059455,Poison,2023
1059456,The Swan,2023
50220,Nobody Knows,2004
36328,Still Walking,2008
947030,Monster,2023
129868,"Like Father, Like Son",2013
40664,After Life,1998
967342,The Makanai: Cooking for the Maiko House,2023
40039,Maborosi,1995
242788,Our Little Sister,2015
310099,After the Storm,2016
65753,I Wish,2011
220213,Citizenfour,2014
49007,Boogie Nights,1997
47914,Punch-Drunk Love,2002
465388,HAIM / Valentine,2017
804801,For the Hungry Boy,2018
155446,Back Beyond,2013
286089,Junun,2015
86605,Cigarettes & Coffee,1993
132480,Mattress Man Commercial,2003
47913,Hard Eight,1996
125830,Inherent Vice,2014
454365,Everything in This Dream,2015
47939,In the Name of the Father,1993
46488,My Left Foot: The Story of Christy Brown,1989
46232,The Age of Innocence,1993
398608,Spielberg,2017
51369,Gandhi,1982
45456,A Room with a View,1986
49846,Gangs of New York,2002
47234,The Last of the Mohicans,1992
19356,Sunday Bloody Sunday,1971
51794,The King of Comedy,1982
10485,A Personal Journey with Martin Scorsese Through American Movies,1995
51593,Casino,1995
398009,Killers of the Flower Moon,2023
43449,The Last Waltz,1978
39879,No Direction Home: Bob Dylan,2005
62426,George Harrison: Living in the Material World,2011
12735,My Voyage to Italy,1999
699586,Pretend It's a City,2021
408274,Bergman Island,2021
51323,Chinatown,1974
51347,Rosemary's Baby,1968
45263,Repulsion,1965
45262,The Tenant,1976
45585,Tess,1979
45246,Knife in the Water,1962
45417,Macbeth,1971
20375,Live Aid,1985
44416,Broadcast News,1987
46949,The Passenger,1975
51271,A Few Good Men,1992
42738,The Last Detail,1973
35182,Five Easy Pieces,1970
49852,Nashville,1975
23383,3 Women,1977
33211,McCabe & Mrs. Miller,1971
591053,Past Lives,2023
1071926,Renaissance: A Film by Beyoncé,2023
642390,I May Destroy You,2020
997400,boygenius: the film,2023
504152,For Sama,2019
787774,Maid,2021
521264,Homecoming: A Film by Beyoncé,2019
328580,Lemonade,2016
34848,Meshes of the Afternoon,1943
557494,Unbelievable,2019
51611,Cléo from 5 to 7,1962
25743,The Beaches of Agnès,2008
20796,The Gleaners and I,2000
384092,Faces Places,2017
23266,Jacquot de Nantes,1991
12898,Le Bonheur,1965
201779,Uncle Yanco,1967
483686,Varda by Agnès,2019
109791,Black Panthers,1968
21145,Vagabond,1985
109790,Salut les Cubains,1963
15971,Daguerréotypes,1975
161607,Mur Murs,1981
12893,Jane B. by Agnès V.,1988
167655,Along the Coast,1958
181273,Ulysse,1983
392446,Tribute to Zgougou the Cat,2002
28153,Far from Vietnam,1967
97190,The Company of Strangers,1990
215255,Olive Kitteridge,2014
51781,Fargo,1996
51431,Short Cuts,1993
51769,Barton Fink,1991
51366,Almost Famous,2000
51706,Miller's Crossing,1990
333448,Isle of Dogs,2018
45366,Blood Simple,1984
45906,The Man Who Wasn't There,2001
50909,Mississippi Burning,1988
50602,Persepolis,2007
266070,Mustang,2015
925037,There’s Still Tomorrow,2023
311942,Cameraperson,2016
237642,The Second Mother,2015
532084,Gentleman Jack,2019
77901,The Meetings of Anna,1978
486974,The Recorder Exam,2011
180480,Forever a Woman,1955
493697,The Farewell,2019
97672,U.S. Go Home,1994
476325,House of Hummingbird,2018
415659,Legally Blonde: The Musical,2007
120650,Katatsumori,1994
95352,K-On! The Movie,2011
97189,Sink or Swim,1990
591235,Mrs. America,2020
1074983,Lessons in Chemistry,2023
368165,The Breadwinner,2017
41055,Grey Gardens,1975
20703,The Watermelon Woman,1996
193647,Gett: The Trial of Viviane Amsalem,2014
18447,Daisies,1966
36922,Daria in 'Is It College Yet?',2002
218278,Tempestad,2016
203386,0.5 mm,2014
319527,The World of Us,2016
494777,Honeyland,2019
20734,At Land,1944
607221,Cowboy Bebop,1998
72133,The Human Condition,1961
34829,Mishima: A Life in Four Chapters,1985
44855,Kagemusha,1980
51445,Aliens,1986
44519,Dreams,1990
48024,"The Cook, the Thief, His Wife & Her Lover",1989
51981,Brazil,1985
47289,Bound,1996
44900,Suspiria,1977
47096,Glengarry Glen Ross,1992
36192,Come and See,1985
424054,Twin Peaks: The Return,2017
35988,Yi Yi,2000
51684,La Haine,1995
31355,Paris Is Burning,1990
9847,The Working Class Goes to Heaven,1971
49468,Women on the Verge of a Nervous Breakdown,1988
590896,About Dry Grasses,2023
483008,The Lost Daughter,2021
47219,Ferris Bueller's Day Off,1986
50193,"Planes, Trains and Automobiles",1987
617443,Dune: Part Two,2024
51618,Being John Malkovich,1999
348772,Antiporno,2016
333310,The Killing of a Sacred Deer,2017
25809,Dogtooth,2009
68307,Alps,2011
277064,Barbie,2023
3519,The Skin I Live In,2011
38248,Mind Game,2004
879229,Perfect Days,2023
51907,Wings of Desire,1987
186549,Logan,2017
291419,Ford v Ferrari,2019
51980,Walk the Line,2005
145928,National Theatre Live: Frankenstein,2011
44613,Slumdog Millionaire,2008
46729,Shallow Grave,1994
479954,Trust,2018
51110,Sunshine,2007
248773,Steve Jobs,2015
871090,Pistol,2022
383137,I Am Heath Ledger,2017
46824,Lords of Dogtown,2005
172537,What We Do in the Shadows,2014
307239,Hunt for the Wilderpeople,2016
25320,Boy,2010
52516,Django Unchained,2012
405127,Ryuichi Sakamoto: Coda,2017
51484,Catch Me If You Can,2002
98801,Final Cut: Ladies and Gentlemen,2012
207224,The Revenant,2015
50947,What's Eating Gilbert Grape,1993
397859,Once Upon a Time… in Hollywood,2019
755564,The Holdovers,2023
47646,Cannibal Holocaust,1980
45602,Chungking Express,1994
29884,Millennium Actress,2001
40424,Happy Together,1997
51068,Y Tu Mamá También,2001
31179,To Live,1994
216086,The Handmaiden,2016
629320,Decision to Leave,2022
484585,The Little Drummer Girl,2018
24986,The Transgressor,1974
261873,Love the Coopers,2015
966990,Anyone But You,2023
51965,Raiders of the Lost Ark,1981
51961,Indiana Jones and the Last Crusade,1989
51279,The Color Purple,1985
51155,The Thing,1982
