id,Name,Release_Year,user_rate
422682,Marriage Story,2019,4.0
444600,Jojo Rabbit,2019,4.5
259441,Little Women,2019,3.0
510047,Promising Young Woman,2020,3.5
620781,Normal People,2020,3.5
668077,The Queen's Gambit,2020,3.5
670507,The Badger,2020,1.0
645487,Malcolm & Marie,2021,3.0
520171,Pleasure,2021,2.0
427807,Black Widow,2021,2.0
357826,Annette,2021,2.5
585258,The Worst Person in the World,2021,3.0
753398,Hit the Road,2021,3.5
471207,The French Dispatch,2021,2.5
665969,After We Fell,2021,0.5
639559,Spencer,2021,3.0
776444,Scenes from a Marriage,2021,3.5
454008,The Many Saints of Newark,2021,1.5
794510,House of Secrets: The Burari Deaths,2021,1.0
807762,All Too Well: The Short Film,2021,
560787,Spider-Man: No Way Home,2021,3.0
730798,Cha Cha Real Smooth,2022,1.5
868558,Aftersun,2022,4.0
800848,Holy Spider,2022,2.5
866264,Leila's Brothers,2022,2.0
905001,All the Beauty and the Bloodshed,2022,3.5
703478,The Whale,2022,3.5
542773,Babylon,2022,3.5
398800,The Zone of Interest,2023,2.5
795897,No Hard Feelings,2023,1.5
829364,The Wonderful Story of Henry Sugar,2023,4.0
710352,Poor Things,2023,3.5
919121,Priscilla,2023,3.0
619510,The Hunger Games: The Ballad of Songbirds & Snakes,2023,
674137,Napoleon,2023,3.0
