id,Name,Year
655177,Doomed Love,1978
169771,Rosa de Areia,1989
184428,Ana,1982
135058,Trás-os-Montes,1976
170364,Jaime,1974
46729,Shallow Grave,1994
84386,The Man Who Sleeps,1974
70452,My Sex Life... or How I Got Into an Argument,1996
20660,Kings and Queen,2004
39805,Nightmare Alley,1947
44879,Tetro,2009
7406,Mr. Klein,1976
22468,Sweet Charity,1969
427837,"Mother, May I Dance with Mary Jane's Fist?: A Lifetone Original Movie",2018
87925,Buddy Boy,1999
17533,"Birds, Orphans and Fools",1969
26210,Iran: A Cinematographic Revolution,2006
47250,Kids,1995
272942,Offering,1978
779120,Shark,2021
40415,The Cremator,1969
174410,The End of the Tour,2015
51178,The Man Who Fell to Earth,1976
50119,24 Hour Party People,2002
51024,The Virgin Suicides,1999
50717,Marie Antoinette,2006
46415,The Honeymoon Killers,1970
51719,Harold and Maude,1971
42999,Bad Day at Black Rock,1955
3109,That Cold Day in the Park,1969
30986,Thieves Like Us,1974
636744,FEUD,2017
27963,Light Sleeper,1992
37139,Atlantic City,1980
45099,The Hunger,1983
51714,Alien,1979
39889,The Duellists,1977
51366,Almost Famous,2000
246212,Prophet's Prey,2015
51291,Total Recall,1990
320014,Relativity,1966
18578,Scorpio Rising,1963
51775,Strange Days,1995
45812,Shadow of the Vampire,2000
117866,A Most Wanted Man,2014
149724,Love's Routine,2013
47171,The Fly,1986
34532,Shivers,1975
16559,Cosmopolis,2012
17288,A Dangerous Method,2011
278,Killing Them Softly,2012
27196,Saturday Night and Sunday Morning,1960
20399,The Gambler,1974
35187,Insomnia,1997
666269,White Noise,2022
50599,The Edge of Heaven,2007
282,Extremely Loud & Incredibly Close,2011
475044,Blue,2018
333445,Logan Lucky,2017
50352,Kafka,1991
51556,Die Hard,1988
34824,On the Silver Globe,1988
15,Belladonna of Sadness,1973
348772,Antiporno,2016
337565,The Death of Stalin,2017
277064,Barbie,2023
833502,"See You Friday, Robinson",2022
50215,Madame Bovary,1991
51149,The Wind That Shakes the Barley,2006
40988,The Room,2003
307298,The Disaster Artist,2017
755564,The Holdovers,2023
879229,Perfect Days,2023
905002,Beyond The Wall,2022
35438,I Killed My Mother,2009
33006,War and Peace,1967
951277,BC Project,2025
44038,Scotch Mist: A Film with Radiohead in It,2007
39679,Meeting People Is Easy,1998
913180,Alto Knights,2025
51740,True Romance,1993
39386,In the Loop,2009
43423,Romance & Cigarettes,2005
99950,Not Fade Away,2012
142823,Nicky Deuce,2013
29192,Instrument,1999
51438,The Bridges of Madison County,1995
45935,The Outlaw Josey Wales,1976
7408,When the Levees Broke: A Requiem in Four Acts,2006
51618,Being John Malkovich,1999
51613,The Green Mile,1999
51249,Cool Hand Luke,1967
51795,Cat on a Hot Tin Roof,1958
51686,The Straight Story,1999
45171,Pat Garrett & Billy the Kid,1973
101453,Harry Dean Stanton: Partly Fiction,2012
27698,The Rocky Horror Picture Show,1975
103795,Who Am I This Time?,1982
36042,My Dinner with Andre,1981
47491,Tokyo Sonata,2008
40176,Gun Crazy,1950
39054,Detour,1945
1141320,RIPLEY,2024
51271,A Few Good Men,1992
40470,Reds,1981
50025,As Good as It Gets,1997
22389,The Shooting,1966
93863,Palms,1994
38292,The Funeral,1996
45108,Ran,1985
