id,Name,Release_Year,user_rate
80280,Window Water Baby Moving,1959,3.5
51436,Pickpocket,1959,4.0
31194,Eyes Without a Face,1960,3.5
51656,La Dolce Vita,1960,4.0
45097,The Virgin Spring,1960,4.0
51787,Breathless,1960,4.0
45541,Peeping Tom,1960,4.0
48927,L'Avventura,1960,4.5
51774,The Apartment,1960,4.0
51578,Psycho,1960,4.5
31047,The Bad Sleep Well,1960,3.5
17365,The Devil's Eye,1960,3.5
50775,Shoot the Piano Player,1960,3.0
23950,La Notte,1961,3.5
30726,Blast of Silence,1961,3.5
201767,A Fire,1961,3.0
44925,Yojimbo,1961,3.5
49294,Viridiana,1961,4.0
49527,Last Year at Marienbad,1961,5.0
31103,A Woman Is a Woman,1961,4.5
51179,The Hustler,1961,3.0
45148,Through a Glass Darkly,1961,4.0
50826,West Side Story,1961,3.5
41608,The Innocents,1961,4.5
19515,Herakles,1962,3.0
50913,Jules and Jim,1962,3.0
51462,La Jetée,1962,5.0
31177,Ivan's Childhood,1962,4.0
51611,Cléo from 5 to 7,1962,4.5
38593,L'Eclisse,1962,4.0
45385,Cape Fear,1962,2.5
45057,The Man Who Shot Liberty Valance,1962,3.0
6578,The Given Word,1962,3.5
33008,The Exterminating Angel,1962,4.5
16791,The Trial of Joan of Arc,1962,3.5
11900,Pitfall,1962,3.5
50915,Vivre Sa Vie,1962,4.5
43015,Harakiri,1962,5.0
51526,To Kill a Mockingbird,1962,2.5
49955,The Trial,1962,4.5
51673,8½,1963,4.5
14938,Le Petit Soldat,1963,3.5
32847,Winter Light,1963,4.5
21100,The House Is Black,1963,4.5
51549,The Birds,1963,4.0
50150,Irma la Douce,1963,3.0
45023,The Haunting,1963,2.0
50200,The Fire Within,1963,3.0
22135,The Servant,1963,4.0
36014,Shock Corridor,1963,3.0
45242,The Silence,1963,4.5
51790,Contempt,1963,3.0
80279,Mothlight,1963,
262419,The Hills of Marlik,1964,2.5
43096,Zulu,1964,0.5
51218,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,4.0
168725,Rhinoceros,1964,3.5
48532,The Umbrellas of Cherbourg,1964,3.0
41440,Woman in the Dunes,1964,5.0
28061,Diary of a Chambermaid,1964,3.0
79451,All These Women,1964,3.0
47892,Band of Outsiders,1964,4.0
249149,Faces of November,1964,2.5
39973,The Last Trick,1964,3.5
35166,Red Desert,1964,4.0
36947,The Gospel According to St. Matthew,1964,4.0
55482,The Married Woman,1964,4.5
51698,A Fistful of Dollars,1964,3.0
49601,Onibaba,1964,4.0
112497,The Brick and the Mirror,1964,4.5
31595,Kwaidan,1964,4.0
201342,A,1965,3.0
12898,Le Bonheur,1965,3.5
47893,Alphaville,1965,3.5
45263,Repulsion,1965,4.0
39972,A Game with Stones,1965,3.5
